stop_id,title,latitude,longitude,routes
2073,Ivana Franka Square,49.830574,24.032169,"[{'name': '3', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '43', 'transport_type': 'marshrutka'}]"
2074,Ivana Franka Square,49.830101,24.031246,"[{'name': '3', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2075,Park kultury,49.830245,24.02387,"[{'name': '3', 'transport_type': 'tram'}, {'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '30', 'transport_type': 'marshrutka'}, {'name': '43', 'transport_type': 'marshrutka'}]"
2076,Park kultury,49.830238,24.02322,"[{'name': '3', 'transport_type': 'tram'}, {'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '30', 'transport_type': 'marshrutka'}]"
2077,Stanislava Lema Square,49.832422,24.017759,"[{'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2078,Stanislava Lema Square,49.832649,24.017154,"[{'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2079,Kyivska St,49.832284,24.012552,"[{'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2080,Kyivska St,49.832416,24.011817,"[{'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2081,Bandery St,49.834606,24.007417,"[{'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2438,Konovaltsia St (Muzei Trusha),49.82429,23.993179,"[{'name': '2', 'transport_type': 'tram'}]"
2439,Konovaltsia St (Muzei Trusha),49.82436,23.993064,"[{'name': '2', 'transport_type': 'tram'}]"
2440,Hordynskykh St,49.826619,23.9969,"[{'name': '2', 'transport_type': 'tram'}]"
2441,Hordynskykh St,49.827073,23.997397,"[{'name': '2', 'transport_type': 'tram'}]"
2442,Maksyma Zalizniaka St,49.828381,23.999694,"[{'name': '2', 'transport_type': 'tram'}]"
2443,Maksyma Zalizniaka St,49.829116,24.000692,"[{'name': '2', 'transport_type': 'tram'}]"
2444,Melnyka St,49.830652,24.003249,"[{'name': '2', 'transport_type': 'tram'}]"
2445,Melnyka St,49.829819,24.005433,"[{'name': '2', 'transport_type': 'tram'}]"
2446,Levynskoho Fabryka,49.830219,24.007936,"[{'name': '2', 'transport_type': 'tram'}, {'name': '41', 'transport_type': 'marshrutka'}]"
2447,Levynskoho Fabryka,49.83087,24.008923,"[{'name': '2', 'transport_type': 'tram'}, {'name': '41', 'transport_type': 'marshrutka'}]"
2448,Kyivska St,49.831957,24.011356,"[{'name': '2', 'transport_type': 'tram'}, {'name': '41', 'transport_type': 'marshrutka'}]"
2453,Mytna Square,49.83982,24.037904,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '39', 'transport_type': 'marshrutka'}, {'name': '39A', 'transport_type': 'marshrutka'}]"
2454,Viiskovyi hospital,49.840259,24.043134,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '39', 'transport_type': 'marshrutka'}, {'name': '39A', 'transport_type': 'marshrutka'}]"
2455,Viiskovyi hospital,49.840045,24.042749,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '39', 'transport_type': 'marshrutka'}, {'name': '39A', 'transport_type': 'marshrutka'}]"
2458,Mechnykova St,49.83868,24.053979,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '39', 'transport_type': 'marshrutka'}, {'name': '39A', 'transport_type': 'marshrutka'}]"
2459,Mechnykova St,49.838748,24.054427,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}]"
2460,Bohdana Kotyka St,49.837454,24.059223,"[{'name': '2', 'transport_type': 'tram'}]"
2462,Pasichna St,49.835138,24.067884,"[{'name': '2', 'transport_type': 'tram'}]"
2620,Akvapark,49.807188,23.999022,"[{'name': '3', 'transport_type': 'tram'}]"
2621,Akvapark,49.807082,23.998861,"[{'name': '3', 'transport_type': 'tram'}]"
2622,Boichuka St (Kinotsentr),49.813018,24.000461,"[{'name': '3', 'transport_type': 'tram'}]"
2623,Boichuka St (Kinotsentr),49.813654,24.000896,"[{'name': '3', 'transport_type': 'tram'}]"
2624,Arkasa St,49.817434,24.003096,"[{'name': '3', 'transport_type': 'tram'}]"
2625,Arkasa St,49.817626,24.003326,"[{'name': '3', 'transport_type': 'tram'}]"
2626,Isaievycha St,49.822642,24.006626,"[{'name': '3', 'transport_type': 'tram'}]"
2627,Isaievycha St,49.822521,24.006639,"[{'name': '3', 'transport_type': 'tram'}]"
2628,Ivana Horbachevskoho St,49.827,24.010942,"[{'name': '3', 'transport_type': 'tram'}]"
2629,Ivana Horbachevskoho St,49.827349,24.011261,"[{'name': '3', 'transport_type': 'tram'}]"
2630,Stanislava Lema Square,49.831769,24.017156,"[{'name': '3', 'transport_type': 'tram'}]"
2631,Stanislava Lema Square,49.831816,24.017375,"[{'name': '3', 'transport_type': 'tram'}]"
2632,Soborna Square,49.838123,24.034927,"[{'name': '3', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
2746,Torfiana St,49.861231,24.026617,"[{'name': '9', 'transport_type': 'tram'}]"
2747,Haidamatska St,49.854395,24.028228,"[{'name': '9', 'transport_type': 'tram'}, {'name': '58', 'transport_type': 'marshrutka'}]"
2748,Palats kultury im. Hnata Khotkevycha,49.852297,24.027476,"[{'name': '6', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '59', 'transport_type': 'marshrutka'}, {'name': '63', 'transport_type': 'marshrutka'}]"
2749,Pid Dubom St,49.850264,24.026908,"[{'name': '6', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2751,Staryi Rynok Square,49.846511,24.02893,"[{'name': '6', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2752,Staryi Rynok Square,49.846937,24.028802,"[{'name': '6', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
2753,Pidvalna St,49.842799,24.034892,"[{'name': '7', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '37', 'transport_type': 'marshrutka'}, {'name': '39', 'transport_type': 'marshrutka'}, {'name': '45', 'transport_type': 'marshrutka'}]"
2754,Pidvalna St,49.842468,24.035198,"[{'name': '7', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '37', 'transport_type': 'marshrutka'}, {'name': '39', 'transport_type': 'marshrutka'}, {'name': '57', 'transport_type': 'marshrutka'}]"
2756,Stryiskyi Rynok,49.829174,24.03236,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}, {'name': '30', 'transport_type': 'marshrutka'}]"
2757,Stryiskyi Park,49.82682,24.034074,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
2758,Stryiskyi Park,49.826758,24.034281,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}, {'name': '30', 'transport_type': 'marshrutka'}]"
2759,Akademiia Mystetstv,49.824849,24.036695,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
3119,Haidamatska St,49.851997,24.029428,"[{'name': '6', 'transport_type': 'tram'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '58', 'transport_type': 'marshrutka'}, {'name': '59', 'transport_type': 'marshrutka'}, {'name': '63', 'transport_type': 'marshrutka'}]"
3120,Pidzamche Station,49.851871,24.032049,"[{'name': '6', 'transport_type': 'tram'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '58', 'transport_type': 'marshrutka'}, {'name': '59', 'transport_type': 'marshrutka'}, {'name': '63', 'transport_type': 'marshrutka'}]"
3121,Pidzamche Station,49.852368,24.033232,"[{'name': '6', 'transport_type': 'tram'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '58', 'transport_type': 'marshrutka'}, {'name': '59', 'transport_type': 'marshrutka'}, {'name': '63', 'transport_type': 'marshrutka'}]"
3123,Tramvaine depo #2,49.857921,24.042764,"[{'name': '6', 'transport_type': 'tram'}, {'name': '58', 'transport_type': 'marshrutka'}, {'name': '59', 'transport_type': 'marshrutka'}]"
3124,Mykolaichuka St,49.866428,24.044635,"[{'name': '6', 'transport_type': 'tram'}]"
3125,Svitanok Fabryka,49.862027,24.043827,"[{'name': '6', 'transport_type': 'tram'}]"
3126,Svitanok Fabryka,49.861609,24.043946,"[{'name': '6', 'transport_type': 'tram'}, {'name': '58', 'transport_type': 'marshrutka'}, {'name': '59', 'transport_type': 'marshrutka'}]"
3749,Kropyvnytskoho Square,49.837312,24.004653,"[{'name': '6', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'marshrutka'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '25', 'transport_type': 'marshrutka'}, {'name': '31', 'transport_type': 'marshrutka'}, {'name': '34', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '51', 'transport_type': 'marshrutka'}]"
3750,Kropyvnytskoho Square,49.83773,24.005586,"[{'name': '6', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'marshrutka'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '25', 'transport_type': 'marshrutka'}, {'name': '31', 'transport_type': 'marshrutka'}, {'name': '34', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '51', 'transport_type': 'marshrutka'}]"
3751,sviatoi Anny Church,49.841901,24.016611,"[{'name': '6', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'marshrutka'}, {'name': '17', 'transport_type': 'marshrutka'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '25', 'transport_type': 'marshrutka'}, {'name': '31', 'transport_type': 'marshrutka'}, {'name': '34', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '51', 'transport_type': 'marshrutka'}]"
3753,Teatralna St,49.844823,24.027642,"[{'name': '6', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '37', 'transport_type': 'marshrutka'}, {'name': '39', 'transport_type': 'marshrutka'}, {'name': '57', 'transport_type': 'marshrutka'}]"
4733,Yeroshenka St,49.847644,24.001385,"[{'name': '7', 'transport_type': 'tram'}, {'name': '17', 'transport_type': 'marshrutka'}]"
4734,Yeroshenka St,49.847736,24.001447,"[{'name': '7', 'transport_type': 'tram'}, {'name': '17', 'transport_type': 'marshrutka'}]"
4737,Yaroslava Mudroho St,49.845469,24.008235,"[{'name': '7', 'transport_type': 'tram'}, {'name': '17', 'transport_type': 'marshrutka'}]"
4742,Krupzavod,49.850978,23.991724,"[{'name': '7', 'transport_type': 'tram'}, {'name': '11', 'transport_type': 'marshrutka'}, {'name': '30', 'transport_type': 'marshrutka'}]"
13735,Oblasna infektsiina likarnia,49.832782,24.050344,"[{'name': '1', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}]"
13737,Lychakivskyi tsvyntar,49.833686,24.052061,"[{'name': '1', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}]"
21939,Horodnytska St,49.858512,24.027022,"[{'name': '9', 'transport_type': 'tram'}]"
21940,Horodnytska St,49.858652,24.027098,"[{'name': '9', 'transport_type': 'tram'}]"
28349,Tatarbunarska St,49.854049,23.986864,"[{'name': '7', 'transport_type': 'tram'}]"
28350,Pohulianka,49.829174,24.056901,"[{'name': '1', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}]"
28515,Teatr lialok,49.84448,24.031473,"[{'name': '7', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '37', 'transport_type': 'marshrutka'}, {'name': '39', 'transport_type': 'marshrutka'}]"
28516,Levytskoho St,49.830472,24.049449,"[{'name': '1', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}]"
28517,Levytskoho St,49.830351,24.049472,"[{'name': '1', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}]"
167242,Medychnyi University,49.840111,24.049031,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '39', 'transport_type': 'marshrutka'}, {'name': '39A', 'transport_type': 'marshrutka'}]"
167248,Palats kultury im. Hnata Khotkevycha,49.852135,24.027512,"[{'name': '6', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '56', 'transport_type': 'marshrutka'}]"
167255,Tramvaine depo #2,49.858159,24.042683,"[{'name': '6', 'transport_type': 'tram'}]"
167256,Promyslova St,49.854663,24.040845,"[{'name': '6', 'transport_type': 'tram'}, {'name': '58', 'transport_type': 'marshrutka'}, {'name': '59', 'transport_type': 'marshrutka'}]"
167257,Promyslova St,49.854721,24.040756,"[{'name': '6', 'transport_type': 'tram'}]"
167260,Haidamatska St,49.854039,24.028097,"[{'name': '9', 'transport_type': 'tram'}]"
167284,Starosolskykh St,49.834699,24.008857,"[{'name': '1', 'transport_type': 'tram'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '30', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '43', 'transport_type': 'marshrutka'}]"
167533,Zaliznychnyi vokzal,49.83944,23.995577,"[{'name': '4', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
176954,Volodymyra Shukhevycha St,49.837387,24.035067,"[{'name': '3', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '37', 'transport_type': 'marshrutka'}, {'name': '57', 'transport_type': 'marshrutka'}]"
222154,Lvivska politekhnika,49.834598,24.016051,"[{'name': '1', 'transport_type': 'tram'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '30', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '43', 'transport_type': 'marshrutka'}]"
222155,Lvivska politekhnika,49.834526,24.016543,"[{'name': '2', 'transport_type': 'tram'}, {'name': '41', 'transport_type': 'marshrutka'}]"
222156,Lvivska politekhnika,49.834391,24.016048,"[{'name': '2', 'transport_type': 'tram'}, {'name': '41', 'transport_type': 'marshrutka'}]"
222158,Bohdana Kotyka St,49.837431,24.059667,"[{'name': '2', 'transport_type': 'tram'}]"
222159,Prymiskyi vokzal,49.837714,24.000224,"[{'name': '1', 'transport_type': 'tram'}, {'name': '4', 'transport_type': 'tram'}, {'name': '6', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}, {'name': '31', 'transport_type': 'marshrutka'}, {'name': '32', 'transport_type': 'marshrutka'}]"
222196,Kyivska St,49.832448,24.01213,"[{'name': '2', 'transport_type': 'tram'}, {'name': '41', 'transport_type': 'marshrutka'}]"
222204,sviatoi Anny Church,49.842762,24.018196,"[{'name': '6', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'marshrutka'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '17', 'transport_type': 'marshrutka'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '31', 'transport_type': 'marshrutka'}, {'name': '34', 'transport_type': 'marshrutka'}]"
222216,Severyna Nalyvaika St,49.843179,24.022782,"[{'name': '6', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'marshrutka'}, {'name': '17', 'transport_type': 'marshrutka'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '25', 'transport_type': 'marshrutka'}, {'name': '31', 'transport_type': 'marshrutka'}, {'name': '34', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '51', 'transport_type': 'marshrutka'}]"
222235,Mahnus Mall,49.844065,24.024281,"[{'name': '6', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'marshrutka'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '17', 'transport_type': 'marshrutka'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '25', 'transport_type': 'marshrutka'}, {'name': '31', 'transport_type': 'marshrutka'}, {'name': '34', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '51', 'transport_type': 'marshrutka'}]"
222271,Lypynskoho St,49.864059,24.044442,"[{'name': '6', 'transport_type': 'tram'}, {'name': '58', 'transport_type': 'marshrutka'}, {'name': '59', 'transport_type': 'marshrutka'}]"
222277,Yakova Ostrianytsi St,49.853477,24.038421,"[{'name': '6', 'transport_type': 'tram'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '58', 'transport_type': 'marshrutka'}, {'name': '59', 'transport_type': 'marshrutka'}, {'name': '62', 'transport_type': 'marshrutka'}, {'name': '63', 'transport_type': 'marshrutka'}]"
222399,Zakhysnykiv Ukrainy,49.842373,24.01544,"[{'name': '6', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'marshrutka'}, {'name': '15', 'transport_type': 'marshrutka'}, {'name': '17', 'transport_type': 'marshrutka'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '25', 'transport_type': 'marshrutka'}, {'name': '31', 'transport_type': 'marshrutka'}, {'name': '34', 'transport_type': 'marshrutka'}, {'name': '41', 'transport_type': 'marshrutka'}, {'name': '51', 'transport_type': 'marshrutka'}]"
222449,Lychakivskyi tsvyntar,49.834074,24.05218,"[{'name': '1', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}]"
222468,Tsentr Dovzhenka,49.79508,24.056168,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222469,Tsentr Dovzhenka,49.794926,24.056255,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222470,Dytiacha poliklinika,49.796969,24.052489,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222471,Dytiacha poliklinika,49.796821,24.052567,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222472,Shuvar Mall,49.799445,24.047733,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222473,Shuvar Mall,49.799609,24.047702,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222474,Uhorska St,49.810781,24.046156,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222476,Uhorska St,49.810937,24.046243,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222478,Ukraina Stadium,49.81863,24.042585,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222479,Ukraina Stadium,49.818755,24.042453,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222480,Akademiia Mystetstv,49.825298,24.036026,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222483,Poliklinika #4,49.790155,24.059005,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222484,Poliklinika #4,49.790016,24.058881,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222485,Santa Barbara,49.785578,24.059067,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222486,Santa Barbara,49.785715,24.059206,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222497,Vernadskoho St,49.782295,24.059209,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222498,Vernadskoho St,49.782437,24.059341,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222499,Kolomyiska St,49.788123,24.059098,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222500,Kolomyiska St,49.787984,24.058973,"[{'name': '4', 'transport_type': 'tram'}, {'name': '8', 'transport_type': 'tram'}]"
222560,Mytna Square,49.83972,24.037171,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '39', 'transport_type': 'marshrutka'}, {'name': '39A', 'transport_type': 'marshrutka'}]"
222561,Medychnyi University,49.839968,24.049088,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}, {'name': '39', 'transport_type': 'marshrutka'}, {'name': '39A', 'transport_type': 'marshrutka'}]"
222564,Yakova Ostrianytsi St,49.853114,24.03657,"[{'name': '6', 'transport_type': 'tram'}, {'name': '20', 'transport_type': 'marshrutka'}, {'name': '58', 'transport_type': 'marshrutka'}, {'name': '59', 'transport_type': 'marshrutka'}, {'name': '62', 'transport_type': 'marshrutka'}, {'name': '63', 'transport_type': 'marshrutka'}]"
222634,Ivana Franka Square,49.829711,24.031241,"[{'name': '4', 'transport_type': 'tram'}]"
224345,Ivana Franka Square,49.829948,24.031564,"[{'name': '8', 'transport_type': 'tram'}]"
224556,Yanivskyi tsvyntar,49.849021,23.996476,"[{'name': '7', 'transport_type': 'tram'}, {'name': '17', 'transport_type': 'marshrutka'}]"
224557,Yanivskyi tsvyntar,49.849478,23.995621,"[{'name': '7', 'transport_type': 'tram'}, {'name': '11', 'transport_type': 'marshrutka'}, {'name': '30', 'transport_type': 'marshrutka'}]"
226143,Holovna Poshta,49.836584,24.02219,"[{'name': '1', 'transport_type': 'tram'}, {'name': '2', 'transport_type': 'tram'}, {'name': '21', 'transport_type': 'marshrutka'}, {'name': '45', 'transport_type': 'marshrutka'}]"
226144,Yaroslava Mudroho St,49.845392,24.008209,"[{'name': '7', 'transport_type': 'tram'}, {'name': '17', 'transport_type': 'marshrutka'}]"
226552,Krupzavod,49.851191,23.991564,"[{'name': '7', 'transport_type': 'tram'}, {'name': '11', 'transport_type': 'marshrutka'}, {'name': '30', 'transport_type': 'marshrutka'}]"
226555,Zaliznychnyi vokzal,49.839999,23.995033,"[{'name': '1', 'transport_type': 'tram'}, {'name': '6', 'transport_type': 'tram'}]"
226556,Zaliznychnyi vokzal,49.839497,23.995632,"[{'name': '1', 'transport_type': 'tram'}, {'name': '6', 'transport_type': 'tram'}]"
226557,Torfiana St,49.861839,24.026399,"[{'name': '9', 'transport_type': 'tram'}]"
226601,Pid Dubom St,49.85004,24.026834,"[{'name': '6', 'transport_type': 'tram'}, {'name': '9', 'transport_type': 'tram'}]"
226642,Memorial Heroiv Ukrainy,49.83524,24.053123,"[{'name': '1', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}]"
226643,Memorial Heroiv Ukrainy,49.835526,24.053106,"[{'name': '1', 'transport_type': 'tram'}, {'name': '7', 'transport_type': 'tram'}]"
